,content
0,Amazing app yet.. There is a problem with the ID verification.. I can't find a permission to the camera in the app. Please try to fix it
1,Worst experience
2,My babies for life jare.....helping people and saving lives...you deserve more than a 5star rating
3,My University in the phone. I love it
4,Love the application
5,Russophobia
6,No demo video and High free Udemy also better than you. 👎👎👎👎👎👎🛢️😏⬇️⬇️
7,Nice app....the financial aid works well I am happy to engage my time here.
8,Thanks so much for crearing this app And thanks for creating exceptional learning for those that aren't financially stable
9,Not sure what's wrong with this. Ideally all the apps on Android stops playing the moment you lock your screen. This app continue to play without showing any progress bar or popup. It's really frustrating.
10,We're on 2022 but this application yet to support drak mode! Till now I'm still using the website and I'll continue to do so unless dark mode has been implemented
11,"Unable to verify ID from past 3 months!!! Neither getting any support from help center, just closing the case with the instruction."
12,Amazing 👏
13,"Getting an error that app can't refresh data. Uninstalled, reinstalled and got the same error. I love this app, hoping a fix is identified."
14,Exceptional
15,Please dont fall for their cheating. I have paid 3000 rs for their data science course and unable to complete the course and receive certificate.they are asking for extra money to complete the course. I have emailed and no reply from there side.Fraud
16,Excellent
17,"Seems great until it's not, hard to find solutions to problems"
18,"I have completed a course but still i am not able to download the certificate, it is still showing verify ID. Don't play such scams people trust on you."
19,This new version is way too Poor.... I can't download videos anymore. Why is that??
20,I recommend multiple install for example to have an app on the phone at the same time on my PC using the same account detail.
21,Downloaded readings are saved without pictures. It is a major issue as I mostly use this app on commute. Also the picture quality isn't enough sometimes.
22,"On multiple choice questions sometimes my answers aren't logged. Retook a test and answered a question I got correct previously. After submitting it, the answers I marked were not shown and was counted as incorrect. This has happened on multiple tests causing my scores to be lowered."
23,Worst service ... I had paid for Google data analytics course ₹2089/- and made account accordingly as instructed but in my purchase it shows no course fees is been paid...had mailed at help center.... No one responded yet... It's fraud.... Worst service... Worst app.... Disappointed .... It's a scam.... Beware
24,Very good app for learning. Everyone must download this app.
25,Downloads not working as of 22/03/2022
26,Picture of enrolled course and their text content is not loading in the My Courses tab. No option to download entire courses at once. Lags a lot. App takes forever to load. The android app does not recognise the progress I make in the web version of Coursera I.e Coursera Android and Coursera Web are not in sync. Tapping on settings button shows a blank screen. My Courses tab never loads or takes ages to load. Inspite of entering a properly spaced name the app is not entering my properly spaced n
27,The best platform ever
28,"What is the verification id and how can I get it ? , please help."
29,Account verification...I verified my account with my Id.the name verified isn't even closed to the name on the ID and it was written on my certificate.please this isn't my name fix it ..you just murdered my name
30,Please add Nots and reading material in Urdu language ...which helps many students .. Thanks
31,Learning has never been so great than this...i love this app even though it forces me to use a desktop for some assignments....
32,Nice app
33,Thanks For Building this thing !😀😀
34,Perfect
35,Great
36,Still the best education app.
37,"There is no section on the course page where prerequisites and corequisites are mentioned..... I had to drop out of two courses I enrolled in because they were too advanced. Please add such section. Also add a Black theme for utilising the AMOLED screen in the best way. It's a must have feature in 2022 (even the Dark theme isn't available, have low hopes for Black theme). Other than that, everything is awesome. Perhaps it is better than any other MOOC platforms out there in my opinion."
38,My refund is not received and the support team is not responding correct where the is the chat option...
39,Wow
40,assignment discussion not loading ... can you help me please
41,BLAST!!!! Best online learning platform
42,No dark theme. I'll give 5 stars if a dark theme is added.
43,Great courses- but dreadful indexing and search engine prevents you from finding them! I've spent a day trying to find Russian language courses. Filters are not explained. If I select 'Russian language' is that the language of delivery or the topic?
44,"It says free courses, it will tell you the courses are offered for free but nothing is free. Just because you can look at course materials doesn't mean anything to someone who believes it is free. You need to take the word free off the site, and out of the programs listed. If you actually offered free courses I might have been prompted to do more and pay for a few programs. But since financial aid is required for a free course, so no thanks. What I've said is Free. Your Welcome"
45,"I'm having trouble using the app. The app background is dark grey and the font is black. So I have to turn my brightness to the full to be able to even read. When scrolling, the text randomly becomes white, thus frying my pupils at full brightness... Maybe this is a glitch in the app or maybe it's not running properly on my phone. Either way, it's annoying AF. Other than that, the app is simple and easy to use."
46,Ur last update isnt working as the previous versions. I cant use it ofline. It fails to load the courses. And most of the time the text for the instructs speech is not available.
47,It's a very good app but at times it takes long to respond and it keeps stopping. It's kinda frustrating
48,"Please add dark or black theme, I really miss it"
49,App courses are nice but support is very poor. I have tried almost 30 times verifying my ID but it us unable to read the details. I have completed my course but unable to get the certificate. I tried from laptop and from mobile. From laptop it is unable to read details and from mobile it says give permission to access camera although there is no camera permission for the app. I already allowed permissions for chrome and browser but still it says allow camera permission. It is so frustrating.
50,I am not able to fill the financial aid form for other universities kindly look into the matter
51,This is the best app I ever downloaded
52,Good but cannot enabl you download the course to you phone memory
53,Great Platform for Learning
54,Nice tutorial videos
55,Its a very shameful 😡😡from coursera They take payment but not activated my service when i contact to customer care they first response on my 2 mails said we forward your query to senior after that there is no response from their side ... 16 days gone no response from coursera worst experience ....😡😡🤬
56,"Top notch information, uses real course outlines, and easy to follow along."
57,Has lots of free courses. No ones asks money or your credit card number when you are studying for good
58,"Although app is good, but in coding assignment code are not visible and editor is also not compatible with smartphone."
59,Please add dark mode support 🙏
60,Can't verify my ID. Have been trying for a long gime .but it's giving me the same error
61,"The creative writing course learning process is so poor. There's no experienced personnel to help in practical teaching. We are to teach ourselves like, how do you expect a learner to teach a learner? How?"
62,"Content is great, but the app..."
63,"Any non governmental organization (company) should stay out of political affairs, maintaining neutrality."
64,Actually I just completed my course. It shows free but after I finished my course we want to pay for certificate. I don't get this? Why this app is cheating?
65,Excellent
66,Amazing
67,Thanks from Russia
68,Is there any way to make transaction through debit card? .
69,Nice platform
70,"I just love this app, it has been a great tool for me to aquire potential skills to job ready"
71,"I have not had any problems with this, ""app."" Was able to restart my, ""Course "" without any problems ."""
72,Application is good but in somewhere in coding assessment it is not working as like in desktop it is not showing properly to write the code. I'm really disappointed with this point. Make it as early as possible
73,Top level
74,They app is vare iasy to use ☺☺
75,I love it. This is the second course I am taking with Coursera and literally is very good app and website too. I recomedent for everyone who want to change the career and doesn't have a chance to go to uni or college. Or even for people who has a degree already.
76,Coursera decided to play politics
77,Thank You Coursera. It is a great experience for me to be a learner at coursera platform. I truly say that this platform help me a lot in my study.
78,You are not a political institution. Shame on you.
79,terribly slow. Incompetent staff
80,Good
81,Late grade is given after submission of assignment
82,Coursera decided to jump on the cancel culture band wagon regarding political events. Shameful action to garner social media likes. I will not support this app any longer. Who knows what they'll randomly remove next due to social fickleness.
83,By banning the Russian courses and discriminating against the students who live there you are punishing many for the actions of a few. You give the anti-western propaganda machine in Russia the arguments to justify their position and literally act Russophobic yourself. Your decision is a shame for anyone who truly cares about education.
84,Sometimes the platform is buggy but overall experience if great.
85,"I used it for many years. Until they decided that people of my nationality don't deserve education at the moment when we need this education like an air, this is the only hope left. Their mission of bringing knowledge to everyone was nothing but marketing, they are liars."
86,"There are thousands of academics and ordinary people across Russia who are firmly against this war and now you are punishing not only them for the crimes of their government, a government that many of them did not choose, but also the rest of the world. The course that you have decided to suspend from HSE is non-political in nature and the actions you have taken are bigoted and will deprive the world of valuable content. I am deeply disappointed."
87,Why on earth you punish russian students for war in Ukraine by blocking Coursera in Russia? You idiots even understand that 99% of students do not support what is happening right now?
88,I need a job please help me out
89,For restricting content for russians
90,This app is a fraud.
